place_id,place_name,geometry
{'place_id': 'e564d30dc173d2a8'},"Johannesburg, South Africa",POINT (27.968098050000002 -26.276138500000002)
{'place_id': '810e12ec4af983de'},"Bloemfontein, South Africa",POINT (26.213109600000003 -29.10658805)
{'place_id': 'd3d46bdc072ad347'},"Vryburg, South Africa",POINT (24.7134466 -26.947960549999994)
{'place_id': '8b9ec16fdc0d7e55'},"Cape Town, South Africa",POINT (18.4241 -33.9249)
{'place_id': 'ace5f33acd47c646'},"Zebediela, South Africa",POINT (29.273209950000002 -24.32029685)
"{'coordinates': {'type': 'Point', 'coordinates': [18.4655904, -33.942785]}, 'place_id': '8b9ec16fdc0d7e55'}","Cape Town, South Africa",POINT (18.4241 -33.9249)
{'place_id': '0e428116fe291283'},"Port Elizabeth, South Africa",POINT (25.5553161 -33.90756195)
{'place_id': '79c23a5b40729c2d'},"Kimberley, South Africa",POINT (24.7638326 -28.7456859)
{'place_id': '7efc470da463c9f0'},"Soweto, South Africa",POINT (27.875271750000007 -26.2564214)
{'place_id': '898ab5b8457800b6'},"Lydenburg, South Africa",POINT (30.47785335 -25.09936295)
{'place_id': 'd0848b8367022de8'},"Polokwane, South Africa",POINT (29.4770012 -23.9162345)
{'place_id': 'cc95b56a28712044'},"Centurion, South Africa",POINT (28.1361401 -25.860880649999995)
{'place_id': '178a87b8e2eaa375'},"Sandton, South Africa",POINT (28.06061305 -26.058708)
{'place_id': 'd73e8f8ebdd03aff'},"Randburg, South Africa",POINT (27.95745755 -26.0197197)
{'place_id': 'f344308959b070f6'},"Mohlakeng, South Africa",POINT (27.699714649999997 -26.23092885)
